id,symbol,name,current_price,24h_change_%,7d_change_%,type
uniswap,uni,Uniswap,8.57,20.65211633009849,66.33962114205335,gainer_24h
figure-heloc,figr_heloc,Figure Heloc,1.031,1.7770138132555569,2.5463189512840505,gainer_24h
tron,trx,TRON,0.298671,1.4800167534676147,6.932980072728885,gainer_24h
susds,susds,sUSDS,1.075,1.4055198572189544,0.1032962926175951,gainer_24h
world-liberty-financial,wlfi,World Liberty Financial,0.155478,0.694044708996179,41.70435413020886,gainer_24h
whitebit,wbt,WhiteBIT Coin,54.97,0.21680631030806952,4.629590966655066,gainer_24h
leo-token,leo,LEO Token,9.21,0.18446235535016692,-3.39649371621369,gainer_24h
usds,usds,USDS,0.999938,0.15290598316312684,0.12820586193164682,gainer_24h
ethena-staked-usde,susde,Ethena Staked USDe,1.2,0.05257707714295825,0.09772013150894168,gainer_24h
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999716,0.007411237412463967,0.013852276272558492,gainer_24h
zcash,zec,Zcash,489.51,-22.811432968606823,3.0064577304404883,loser_24h
internet-computer,icp,Internet Computer,6.37,-9.817094602319214,22.882456537936534,loser_24h
near,near,NEAR Protocol,2.65,-8.753202336633006,40.60051844733413,loser_24h
monero,xmr,Monero,375.25,-7.270305288758254,9.399659433064546,loser_24h
mantle,mnt,Mantle,1.26,-6.396772772463913,1.967288816525396,loser_24h
stellar,xlm,Stellar,0.29306,-5.546089321234445,6.69488794157992,loser_24h
sui,sui,Sui,2.1,-4.809879363208982,2.7928592373839067,loser_24h
litecoin,ltc,Litecoin,102.49,-4.669886925312765,18.25872945403917,loser_24h
hedera-hashgraph,hbar,Hedera,0.187627,-4.559835457158143,8.139340587931402,loser_24h
hyperliquid,hype,Hyperliquid,40.25,-4.484297357916065,7.503506810060608,loser_24h
uniswap,uni,Uniswap,8.57,20.65211633009849,66.33962114205335,gainer_7d
world-liberty-financial,wlfi,World Liberty Financial,0.155478,0.694044708996179,41.70435413020886,gainer_7d
near,near,NEAR Protocol,2.65,-8.753202336633006,40.60051844733413,gainer_7d
internet-computer,icp,Internet Computer,6.37,-9.817094602319214,22.882456537936534,gainer_7d
polkadot,dot,Polkadot,3.17,-2.4420534545831063,22.510366478958755,gainer_7d
litecoin,ltc,Litecoin,102.49,-4.669886925312765,18.25872945403917,gainer_7d
aave,aave,Aave,218.5,-2.8390128774712515,11.344254193490679,gainer_7d
shiba-inu,shib,Shiba Inu,9.89e-06,-1.8975321270513028,10.020082282540486,gainer_7d
monero,xmr,Monero,375.25,-7.270305288758254,9.399659433064546,gainer_7d
ripple,xrp,XRP,2.46,-3.9230997948846302,9.279074029749173,gainer_7d
bittensor,tao,Bittensor,376.06,-3.870569983809627,-12.378839022801454,loser_7d
leo-token,leo,LEO Token,9.21,0.18446235535016692,-3.39649371621369,loser_7d
memecore,m,MemeCore,2.39,-2.452987872049341,-0.6349298781922357,loser_7d
usdt0,usdt0,USDT0,0.999839,-0.0003026117788638431,0.003915700460362998,loser_7d
dai,dai,Dai,0.999549,-0.0866921179532864,0.005895488824165666,loser_7d
usd-coin,usdc,USDC,0.999807,0.0007175792945791541,0.009924654950057092,loser_7d
tether,usdt,Tether,0.999811,0.001356155393032562,0.010636697214109855,loser_7d
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999716,0.007411237412463967,0.013852276272558492,loser_7d
ethena-usde,usde,Ethena USDe,0.999,-0.02027648090181021,0.019989592151080798,loser_7d
ethena-staked-usde,susde,Ethena Staked USDe,1.2,0.05257707714295825,0.09772013150894168,loser_7d
